epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kpt_loss,train/shape_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kpt_loss,val/shape_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.1559,1.89352,1.9981,1.44845,0,0,0.75359,0.61595,0.6847,0.38255,1.55585,1.16663,1.25865,0,0,0.00993711,0.00331237,0.00993711,0.00331237,0.00993711,0.00331237,0.00993711,0.00331237
2,118.598,1.54587,0.79901,1.22781,0,0,0.79573,0.64912,0.72363,0.42919,1.40131,0.82146,1.15218,0,0,0.0199152,0.00663839,0.0199152,0.00663839,0.0199152,0.00663839,0.0199152,0.00663839
3,151.564,1.53928,0.74873,1.19792,0,0,0.79846,0.65814,0.73537,0.44949,1.3965,0.77272,1.14926,0,0,0.0298712,0.00995708,0.0298712,0.00995708,0.0298712,0.00995708,0.0298712,0.00995708
4,184.321,1.50904,0.7082,1.18474,0,0,0.80938,0.60615,0.68916,0.42409,1.43338,0.79641,1.17892,0,0,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967
5,217.614,1.44093,0.66002,1.15778,0,0,0.83262,0.65208,0.74188,0.46826,1.33846,0.69061,1.12574,0,0,0.029868,0.009956,0.029868,0.009956,0.029868,0.009956,0.029868,0.009956
6,248.684,1.38302,0.62708,1.1389,0,0,0.83637,0.69592,0.77502,0.48898,1.32903,0.68552,1.13382,0,0,0.029835,0.009945,0.029835,0.009945,0.029835,0.009945,0.029835,0.009945
7,279.036,1.36735,0.61114,1.13129,0,0,0.84947,0.65877,0.74306,0.47796,1.30009,0.66758,1.1218,0,0,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934
8,306.244,1.33306,0.5922,1.12036,0,0,0.85416,0.67626,0.75987,0.49353,1.26568,0.63835,1.10945,0,0,0.029769,0.009923,0.029769,0.009923,0.029769,0.009923,0.029769,0.009923
9,332.523,1.31532,0.58296,1.11586,0,0,0.86318,0.67412,0.76231,0.48929,1.2885,0.6288,1.10569,0,0,0.029736,0.009912,0.029736,0.009912,0.029736,0.009912,0.029736,0.009912
10,358.391,1.2993,0.57036,1.10696,0,0,0.8557,0.69605,0.78024,0.52056,1.21059,0.60571,1.08708,0,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
11,383.087,1.28434,0.56095,1.10243,0,0,0.85702,0.66533,0.75286,0.48727,1.28714,0.63542,1.11407,0,0,0.02967,0.00989,0.02967,0.00989,0.02967,0.00989,0.02967,0.00989
12,409.242,1.26914,0.55113,1.09749,0.00323,0.00018,0.86231,0.70236,0.7857,0.51588,1.25021,0.61456,1.10513,0,0,0.029637,0.009879,0.029637,0.009879,0.029637,0.009879,0.029637,0.009879
13,435.281,1.25498,0.54444,1.09104,0.00398,0.00024,0.87567,0.68508,0.77104,0.51063,1.22115,0.61496,1.09848,0,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
14,461.397,1.24184,0.54055,1.08668,0.00492,0.00028,0.84831,0.68351,0.7554,0.49081,1.27983,0.62274,1.09878,0,0,0.029571,0.009857,0.029571,0.009857,0.029571,0.009857,0.029571,0.009857
15,487.385,1.23124,0.53194,1.08608,0.00586,0.0003,0.85975,0.69807,0.78771,0.52529,1.19912,0.59994,1.08333,0,0,0.029538,0.009846,0.029538,0.009846,0.029538,0.009846,0.029538,0.009846
16,512.908,1.22599,0.52979,1.08337,0.00681,0.00033,0.84685,0.6896,0.76795,0.50186,1.24642,0.61548,1.09004,0,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
17,539.315,1.22378,0.52508,1.07878,0.00779,0.00036,0.85962,0.68627,0.77113,0.51776,1.19237,0.58589,1.07893,0,0,0.029472,0.009824,0.029472,0.009824,0.029472,0.009824,0.029472,0.009824
18,565.072,1.21304,0.51997,1.07756,0.00869,0.00039,0.85593,0.72022,0.79546,0.52854,1.20918,0.57898,1.08192,0,0,0.029439,0.009813,0.029439,0.009813,0.029439,0.009813,0.029439,0.009813
19,591.487,1.20109,0.51239,1.07394,0.00955,0.00041,0.83407,0.67045,0.75513,0.49427,1.27983,0.63569,1.10392,0,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
20,617.282,1.19855,0.51054,1.0718,0.01037,0.00043,0.85747,0.70894,0.78405,0.52943,1.17906,0.57927,1.06788,0,0,0.029373,0.009791,0.029373,0.009791,0.029373,0.009791,0.029373,0.009791
21,643.572,1.19612,0.50958,1.07053,0.01123,0.00045,0.83716,0.6687,0.74143,0.50092,1.20295,0.60327,1.08607,0,0,0.02934,0.00978,0.02934,0.00978,0.02934,0.00978,0.02934,0.00978
22,669.538,1.18926,0.50467,1.06814,0.01212,0.00047,0.88682,0.67751,0.77079,0.51802,1.20348,0.59551,1.08138,0,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
23,695.145,1.17895,0.50087,1.06568,0.01286,0.00049,0.8441,0.67267,0.75299,0.50792,1.20732,0.61878,1.0882,0,0,0.029274,0.009758,0.029274,0.009758,0.029274,0.009758,0.029274,0.009758
24,721.151,1.17514,0.49793,1.06229,0.01371,0.00051,0.85619,0.71695,0.79001,0.51943,1.22056,0.57854,1.07774,0,0,0.029241,0.009747,0.029241,0.009747,0.029241,0.009747,0.029241,0.009747
25,746.778,1.1677,0.4942,1.06023,0.0146,0.00054,0.86586,0.69624,0.77813,0.50863,1.24345,0.58914,1.08638,0,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
26,772.51,1.17151,0.49324,1.06086,0.01546,0.00056,0.87055,0.70181,0.78643,0.53075,1.17739,0.57147,1.07104,0,0,0.029175,0.009725,0.029175,0.009725,0.029175,0.009725,0.029175,0.009725
27,798.214,1.16057,0.48999,1.05773,0.0162,0.00059,0.87159,0.69366,0.77889,0.52599,1.16995,0.57415,1.06754,0,0,0.029142,0.009714,0.029142,0.009714,0.029142,0.009714,0.029142,0.009714
28,824.404,1.16055,0.4869,1.05588,0.01706,0.00061,0.85258,0.72028,0.79013,0.5309,1.18418,0.5827,1.07751,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
29,850.702,1.15245,0.48507,1.05308,0.01785,0.00063,0.85865,0.71369,0.79264,0.538,1.16314,0.56941,1.06963,0,0,0.029076,0.009692,0.029076,0.009692,0.029076,0.009692,0.029076,0.009692
30,876.94,1.14723,0.48173,1.0538,0.01866,0.00065,0.88364,0.6954,0.7787,0.52744,1.18497,0.55901,1.0751,0,0,0.029043,0.009681,0.029043,0.009681,0.029043,0.009681,0.029043,0.009681
31,903.316,1.14347,0.47963,1.05123,0.01944,0.00067,0.88214,0.69497,0.7812,0.52516,1.18812,0.57,1.07861,0,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
32,929.102,1.1381,0.4774,1.05228,0.02013,0.00069,0.87512,0.68592,0.77395,0.5247,1.18836,0.57413,1.06825,0,0,0.028977,0.009659,0.028977,0.009659,0.028977,0.009659,0.028977,0.009659
33,955.214,1.13523,0.4774,1.05039,0.02097,0.00071,0.88251,0.69956,0.78052,0.53738,1.13903,0.5497,1.06304,0,0,0.028944,0.009648,0.028944,0.009648,0.028944,0.009648,0.028944,0.009648
34,981.055,1.13679,0.47616,1.04993,0.02186,0.00073,0.8733,0.70306,0.78082,0.53656,1.15271,0.55873,1.06252,0,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
